title,artist,id,source,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
About Damn Time,Lizzo,57IdGqRTGESDyidR9uUSOB,H,0.836,0.743,0.0656,0.0995,0.0,0.335,0.722,108.966,1
Lift Me Up,Rihanna,1Jb0BvBueT6TBcZKIRWoJ6,H,0.345,0.251,0.0406,0.822,0.0993,0.0925,0.143,177.891,5
Que Vuelvas,Carin Leon X Grupo Frontera,4NfwBgmzmzx8WpyIy9C6p7,H,0.772,0.598,0.0414,0.601,0.00712,0.123,0.862,140.92,1
Low,SZA,1QnWNMc9ZSTLuAwhXzTYQT,H,0.667,0.678,0.032,0.0332,0.0,0.163,0.539,129.31,1
One Thing At A Time,Morgan Wallen,4VWVupm8eU3Njc7YIQHs0F,H,0.504,0.513,0.0277,0.129,0.0,0.685,0.0941,112.984,3
Tennessee Orange,Megan Moroney,6TQrhZOWTPmG1mESeDRyEN,H,0.159,0.137,0.0369,0.603,0.918,0.108,0.0399,138.581,2
Bloody Mary,Lady Gaga,30c0cwPpyru7GjzKLJ51jM,H,0.794,0.522,0.0316,0.0341,0.819,0.101,0.472,100.0,6
What He Didn't Do,Carly Pearce,79ZBn845qsMjNPFKtuKEsF,H,0.523,0.723,0.0436,0.112,0.0,0.61,0.276,137.748,3
I Wrote The Book,Morgan Wallen,4vztnwssrON2PJAXtVf4An,H,0.716,0.414,0.0618,0.538,1.04e-05,0.107,0.442,120.006,5
Freestyle,Lil Baby,01JMnRUs2YOK6DDpdQASGY,H,0.817,0.513,0.394,0.38,0.0,0.109,0.177,123.029,4
Handle On You,Parker McCollum,6P7aZG4PRvErVyxtHIBts5,H,0.449,0.733,0.0266,0.00455,6.81e-06,0.0996,0.433,142.499,0
Everything I Love,Morgan Wallen,6KVuoJUrhbVgMrqZX5T7Kg,H,0.844,0.77,0.0787,0.0422,1.38e-06,0.197,0.723,137.033,1
Wild As Her,Corey Kent,0IXdyGzVO91HrnNXW6P5TT,H,0.565,0.851,0.0319,0.00141,0.0,0.345,0.372,124.956,0
Forget Me,Lewis Capaldi,3Xu1SbsuVDHrnzuNAZEXNB,H,0.716,0.454,0.0318,0.751,0.0,0.143,0.486,101.953,5
Growin' Up And Gettin' Old,Luke Combs,5n4kMW5dn7MHFhXQuJb9zG,H,0.478,0.516,0.0267,0.403,0.0,0.0823,0.376,80.09,5
Here With Me,d4vd,0wY9rA9fJkuESyYm9uzVK5,H,0.784,0.586,0.187,0.00558,0.000286,0.106,0.656,132.169,1
The Color Violet,Tory Lanez,2cK4RHjjvgs5vLrBdnZ022,H,0.81,0.366,0.0841,0.0239,0.000186,0.0647,0.303,125.967,0
Spin Bout U,Drake & 21 Savage,7fyB1cxZ0zj69MQwdKnpk0,H,0.539,0.516,0.027,0.254,1.23e-06,0.142,0.466,137.819,0
Blind,SZA,3ADKmQCxv7dn7KboDdveMF,H,0.644,0.609,0.0956,0.132,3e-06,0.332,0.345,159.791,0
Love You Better,Future,6RZj1kBuWGiE7tgOiZErWR,H,0.644,0.355,0.287,0.47,0.000313,0.112,0.549,75.317,4
La Bachata,Manuel Turizo,5QgwnXXptPRxrkglPpuraT,H,0.865,0.489,0.0493,0.824,0.894,0.122,0.779,125.005,6
I'm Not Here To Make Friends,Sam Smith,2lsqxC8ycVQreqAGiMDrtT,H,0.185,0.244,0.033,0.925,1.78e-05,0.13,0.0636,183.599,5
Nonsense,Sabrina Carpenter,7yogx3TwxGwSxO2QITsT2q,H,0.722,0.75,0.0445,0.00768,0.0,0.128,0.57,139.019,1
No Se Va,Grupo Frontera,1O0IFR3MYqgQbziKTCf0X4,H,0.641,0.517,0.0673,0.528,0.0,0.136,0.642,127.902,1
10:35,Tiesto Featuring Tate McRae,3CKbz7DsOPl94W9duLx9HK,H,0.747,0.786,0.0363,0.0437,0.00104,0.149,0.719,125.008,1
Snap,Rosa Linn,4JGFQyEJXDLtB3kOL3M1F3,H,0.631,0.842,0.0674,0.0495,2.25e-05,0.284,0.332,112.896,0
Shut Up My Moms Calling,Hotel Ugly,3EEr6l5PYelwkrvvKX7N0X,H,0.375,0.63,0.0453,0.0552,0.0,0.107,0.349,115.728,0
OMG,NewJeans,2DwUdMJ5uxv20EhAildreg,H,0.847,0.638,0.0575,0.0596,0.0,0.0894,0.661,156.935,1
Love Language,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,H,0.559,0.551,0.132,0.141,0.0,0.11,0.392,143.008,0
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",1ZxJvq28DUmAFZxt9lU7n6,H,0.699,0.58,0.527,0.283,0.0,0.0926,0.706,83.759,4
The Black Seminole.,Lil Yachty,6vDyzD9o8aYhR1963oJpkO,H,0.44,0.661,0.124,0.418,0.00264,0.621,0.61,127.892,3
You Didn't,Brett Young,7mqsZ1HaeI8Kf67rf1YJdh,H,0.657,0.275,0.0299,0.222,0.293,0.116,0.2,73.99,5
I Wish You Roses,Kali Uchis,6wJrDcWOIOn1MJh0FmCxhx,H,0.646,0.21,0.0275,0.9,0.000165,0.109,0.594,93.066,5
La Jumpa,Arcangel & Bad Bunny,6oKTVmuVSzQSLGvTFWLmf5,H,0.639,0.73,0.0499,0.184,0.0,0.279,0.945,184.933,1
Too Many Nights,Metro Boomin Featuring Don Toliver & Future,02guftHiZ0nqZIcVAnf0xk,H,0.684,0.671,0.0464,0.189,2.37e-05,0.122,0.156,88.048,0
Do It Again,NLE Choppa & 2Rare,6aB3iF4BCPRWQsKZu5UjRM,H,0.803,0.633,0.319,0.124,1.9e-06,0.172,0.66,160.143,4
Fin de Semana,Junior H X Oscar Maydon,3AHBW7gsuWsUlstIzM689M,H,0.676,0.671,0.0974,0.155,0.0,0.0533,0.834,137.149,1
Circo Loco,Drake & 21 Savage,2YmaKBj9Bw7jPbopzPHPMF,H,0.443,0.689,0.395,0.679,0.0,0.42,0.433,94.891,3
That's What Tequila Does,Jason Aldean,343VsBkNa2Ag8r09jkJROE,H,0.658,0.822,0.0354,0.187,0.000852,0.1,0.766,114.021,1
Back End,Finesse2Tymes,6xnuV18EI3l4YQdpoZd5jY,H,0.88,0.746,0.124,0.0129,0.0,0.105,0.315,130.045,0
Ditto,NewJeans,65FftemJ1DbbZ45DUfHJXE,H,0.804,0.771,0.0433,0.357,3.07e-06,0.108,0.739,126.956,1
Human,Cody Johnson,24Nt4OalWDICkEKVy81X6k,H,0.546,0.838,0.0319,0.27,1.24e-05,0.0841,0.719,151.914,1
Tennessee Fan,Morgan Wallen,1eS6UVVqLhTTpNZAAP1GH7,H,0.529,0.955,0.0415,0.129,3.84e-06,0.275,0.934,182.17,1
Knight Crawler,Trippie Redd & Juice WRLD,3IBySSAIfzt0vVhgGaiZA6,H,0.681,0.763,0.253,0.034,0.0,0.315,0.439,130.098,4
California Breeze,Lil Baby,4vACcnMMyDhdGIardAf4XW,H,0.628,0.845,0.0398,0.0537,0.0,0.378,0.801,115.999,1
Next Thing You Know,Jordan Davis,2NJQkZx5VEpKk8moUyK7ph,H,0.654,0.737,0.0341,0.247,0.0,0.14,0.835,117.025,1
Hey Mor,Ozuna Featuring Feid,2eor30onI6Gj1AaITJPf7R,H,0.78,0.823,0.249,0.239,0.0,0.458,0.749,93.018,3
Gato de Noche,Nengo Flow & Bad Bunny,0u7LUx0nbjhZSkGxTegLvz,H,0.564,0.537,0.0526,0.384,0.0,0.246,0.3,165.228,0
Heart To Heart,Mac DeMarco,7Dr5sMI3LTFikn8gseY1rm,H,0.901,0.137,0.104,0.664,0.402,0.109,0.643,150.069,5
Never Gonna Not Dance Again,P!nk,0Uv0h4QmjeR9ew5AjyBR3i,H,0.675,0.775,0.0738,0.0272,0.0,0.113,0.8,113.872,1
Dancin' In The Country,Tyler Hubbard,0U4iRayct65wsaBMQGiLbg,H,0.605,0.79,0.0454,0.16,0.0,0.126,0.507,105.997,1
Nephew,Smokepurpp,7b4LMdMrjPLNUNwxO46sQR,N,0.902,0.544,0.242,0.153,0.0,0.111,0.136,131.912,4
Chemtrails Over The Country Club,Lana Del Rey,1A0vYSbkZ6q8wPjFHTzl83,N,0.389,0.158,0.0367,0.355,0.00223,0.0483,0.175,100.521,5
Summer Games,Drake,0lGUPzw6w4mV2FTistURWG,N,0.723,0.71,0.254,0.204,2.07e-06,0.196,0.927,155.17,1
Get Low,Zedd,50x2U9uVnVjbbxZNyhtSg4,N,0.726,0.926,0.0534,0.0269,3.86e-06,0.0519,0.545,108.0,1
Talk,Yeat,3DNKr4PKvm6weTbNmFSMbn,N,0.629,0.506,0.307,0.000886,0.0,0.118,0.341,159.054,4
Mele Kalikimaka  Single Version,Bing Crosby,04vLj9QUXoKdRlsp3gkURo,N,0.5,0.224,0.0935,0.646,0.0,0.284,0.62,202.481,5
