title,artist,id,source,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Book Of Rhymes,Eminem,34xKCCufqJSuEjqXJ0RzRY,N,0.422,0.858,0.0427,0.0702,0.0,0.345,0.411,88.7,0
The Night Me And Your Mama Met,Childish Gambino,4Y6eDtCLr2sUphGDfIlWNQ,N,0.577,0.468,0.0355,0.846,0.0,0.103,0.726,144.329,5
Off My Face,Justin Bieber,7HsGR3H6eeZm7C0BGqLyWC,N,0.757,0.443,0.0324,0.904,0.0421,0.116,0.387,99.987,5
Get A Bag,Chance The Rapper,0DhP494VkrjtGVl4tl0J9Q,N,0.597,0.101,0.0665,0.995,0.963,0.113,0.844,84.229,2
Solitaires,Future,3DxZfFYJLwKDJtUwnLEhkL,N,0.68,0.63,0.038,0.157,0.0,0.0698,0.473,113.866,1
I Can'T Stop Drinking About You,Bebe Rexha,3uliiJrmB5xco8S2o5KeIQ,N,0.409,0.772,0.0851,0.0384,0.0,0.0539,0.392,126.146,0
White Ferrari,Frank Ocean,1xpbfSSMzBnjNWELyffSZh,N,0.839,0.638,0.194,0.0294,2.04e-06,0.105,0.314,141.044,4
Positions,Ariana Grande,0fPmPSEe9o1RrKAkXLMiah,N,0.402,0.37,0.0367,0.929,0.865,0.0682,0.51,175.905,2
Hope  Chicken Noodle Soup,J,2BHqIjg4q2Aebi641SjdVB,N,0.48,0.689,0.0645,0.78,0.0,0.149,0.596,117.409,5
Pushin P,Gunna,57TRYhuuEShbqy8Y4EnSaS,N,0.603,0.713,0.0351,0.0409,0.0,0.27,0.796,141.985,1
Si Veo A Tu Mamá,Bad Bunny,5X6iVXHOkkoHDbEdNyqTgR,N,0.652,0.595,0.116,0.146,0.000105,0.0836,0.422,172.26,0
Harder To Breathe,Maroon 5,2SZCMA6B76Cc9a9DaAJsRk,N,0.801,0.601,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4
Enséñame A Bailar,Bad Bunny,7MZA8jYVzYJ3jdQDX3TARg,N,0.866,0.663,0.206,0.119,0.0,0.318,0.83,85.298,1
Cake By The Ocean,Dnce,6PYCAjKL2Vuixlc3rUfydM,N,0.367,0.122,0.0319,0.984,4.37e-05,0.172,0.104,75.265,5
Penthouse,Wiz Khalifa,4bCqxEfZ0i6Oz6I0hpfM7a,N,0.525,0.811,0.345,0.23,0.0,0.213,0.513,169.685,4
Hurts 2B Human,P!Nk,2wLsC5MYbPdfVhLv4fCZpY,N,0.89,0.426,0.109,0.63,0.0,0.0774,0.84,100.026,1
Shut Down,Blackpink,6crR8G2GNDSMFqIVFIT2mM,N,0.379,0.347,0.0893,0.74,0.0,0.243,0.605,205.005,5
Look Over Your Shoulder,Busta Rhymes,7FuqcsIKEUNUIzu6r6GtjS,N,0.894,0.618,0.129,0.0808,0.0,0.558,0.379,119.1,3
Amnesia,5 Seconds Of Summer,2iUXsYOEPhVqEBwsqP70rE,N,0.871,0.476,0.247,0.171,0.0,0.308,0.32,136.931,4
Get Low,Ying Yang Twins,5CSossBRgqQUcBJGkI9H8S,N,0.647,0.874,0.0575,0.00905,0.000276,0.373,0.444,113.973,0
No Comparison,A Boogie Wit Da Hoodie,0Lfz2deHUNG5PHHgufgyQi,N,0.6,0.412,0.344,0.615,0.0026,0.134,0.408,113.05,4
Time Today,Moneybagg Yo,2g3qKijfeHfDyM7Fmaoi5M,N,0.457,0.477,0.102,0.281,0.000822,0.0914,0.627,144.855,0
Amigo,Lil Tecca,2ZXxRC6V6AXzMdbLQZMHSB,N,0.837,0.607,0.067,0.336,0.0,0.127,0.556,117.014,1
Buy Dirt,Jordan Davis,6HBRLaSQ7NB8MNlaqzYen1,N,0.831,0.834,0.222,0.0148,0.0,0.303,0.381,87.027,4
A L I E N S,Coldplay,4Upw1NWGOzSNI3HnRWQ8qp,N,0.903,0.637,0.0818,0.295,0.0,0.203,0.624,125.95,1
Negative Energy,Trippie Redd,4apiNNK0jp9uqn3JDG9My1,N,0.735,0.737,0.0476,0.0516,0.936,0.109,0.933,159.996,6
Coming Home,Pusha T,3vYP5IgBfHv9nWbNhTq3IS,N,0.739,0.658,0.195,0.132,0.000129,0.266,0.636,80.955,1
Alaska,Maggie Rogers,1S4z3fHfqPuIlWbx3fJAlp,N,0.766,0.691,0.485,0.653,0.0,0.164,0.574,112.788,4
Dangerous,Meek Mill,1lL7Sj9AitQT7YWXs6obEq,N,0.866,0.818,0.26,0.0137,0.0,0.132,0.747,103.332,1
Jingle Bells  Remastered 1999,Frank Sinatra,4MXjNlvbzwCMWHrxlya9pW,N,0.651,0.771,0.0313,0.00381,1.71e-05,0.238,0.456,112.015,0
Moonlight,Trippie Redd,0eCFVpSm0S34D44WnqRXVT,N,0.711,0.761,0.225,0.067,0.0,0.041,0.718,95.824,1
We Cry Together,Kendrick Lamar,5cxllEuDs5ekHTeO7TBoeC,N,0.624,0.638,0.224,0.0106,0.0,0.205,0.2,154.93,0
Somebody Told Me,The Killers,1KF6uW84ksAUlTMy08gP1R,N,0.493,0.36,0.0361,0.924,0.000214,0.169,0.556,93.606,5
Shotta Flow 3,Nle Choppa,5BJMeoCXXgbRAWfp6fTulr,N,0.374,0.504,0.0392,0.806,0.0,0.76,0.27,109.025,3
Worldstar Money (Interlude),Joji,26hOm7dTtBi0TdpDGl141t,N,0.742,0.717,0.337,0.302,0.0,0.113,0.601,140.065,4
Girl'S Best Friend,2 Chainz,1IjvS0kEjRCzuv8VwlyHgB,N,0.925,0.391,0.0609,0.585,8.07e-06,0.0814,0.668,105.05,1
All Mine,Kanye West,7wEBZQwEglsVdnLPucbGEr,N,0.482,0.634,0.0847,0.261,1.59e-06,0.204,0.714,139.046,1
Hope  More,J,4blnfSoZ2eYxzkvafHAG9e,N,0.602,0.124,0.0276,0.985,0.847,0.101,0.111,105.961,2
Waves,Miguel,5Q0c3q5dN1BIxROsuwdb5e,N,0.618,0.717,0.318,0.00256,0.0,0.625,0.603,190.05,3
Somebody,The Chainsmokers,3XhpkLrHXPhHCaiDTw6Md2,N,0.836,0.594,0.135,0.152,2.71e-05,0.0649,0.9,97.017,1
Motw,Gunna,7Fege3yv4dvehB3NdRBGwI,N,0.731,0.675,0.0434,0.00473,0.0,0.141,0.298,124.939,0
Jackboys,Jackboys,4AO1XhrgJczQ9bNVxdfKQe,N,0.75,0.839,0.6,0.144,0.0,0.197,0.667,82.222,4
Quittin’ Time,Morgan Wallen,50Emgupm363qIrYBe20FR3,N,0.61,0.0843,0.0372,0.351,9.93e-05,0.0824,0.233,112.386,5
Nothing But Trouble  Instagram Models,Lil Wayne,7JUoKddqlQCvbRNHKEDFcg,N,0.379,0.853,0.0768,0.0109,2.56e-06,0.958,0.176,139.996,3
Superstar,Young Stoner Life,03wIgxwIp6Ys0tR0UFzkiL,N,0.521,0.526,0.0281,0.243,0.00537,0.108,0.502,130.694,0
Fresh Eyes,Andy Grammer,4MflGTO2ZTcSQ12bWcyRgI,N,0.664,0.351,0.118,0.226,2.38e-06,0.106,0.816,113.204,1
Saint Laurenttt,Nav,0HfZpypXvq1dMLYzClxNjs,N,0.71,0.843,0.314,0.395,0.0,0.794,0.625,148.134,3
Money Convo,21 Savage,21PEKklJp1yMTS8nBK4n5k,N,0.633,0.0789,0.0309,0.987,2e-05,0.0839,0.296,89.931,5
Be Alright,Dean Lewis,7rzkihbv6pxtRDFU3b1VWg,N,0.746,0.357,0.361,0.457,0.752,0.064,0.301,75.015,6
Summertime Sadness,Lana Del Rey,2dBwB667LHQkLhdYlwLUZK,N,0.65,0.825,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,1
Perfect,Ed Sheeran,5T6bJp3XgwT0IaCfKMxmAu,N,0.669,0.885,0.0438,0.0393,0.0,0.264,0.825,109.24,1
I Can'T Give Everything Away,David Bowie,7G3D3fmTfSsQhrrIW4EC0W,N,0.722,0.687,0.0343,0.00134,0.000366,0.151,0.147,105.007,0
Still Life,Rm,3TSLqZssCoCdDlMhCJ08XW,N,0.753,0.302,0.114,0.000405,0.772,0.137,0.291,137.397,6
93 Freestyle,Isaiah Rashad,051zam2WDIKOLdu4XYpCaA,N,0.353,0.725,0.0347,3.86e-05,0.854,0.169,0.135,186.648,6
Donald Trump,Mac Miller,6Aa7aDayiQHnUw1dUvdneZ,N,0.768,0.754,0.141,0.617,0.919,0.11,0.0388,85.016,6
Self,Khalid,4fEzSAmP0n8KN0zL4WQKgM,N,0.803,0.647,0.178,0.017,0.612,0.0497,0.751,160.021,6
Way To The Show,Solange,4q91GjZYQAZWICmRaOu04F,N,0.582,0.568,0.0297,0.196,0.0,0.0841,0.64,76.025,1
All The Girls,Tory Lanez,4u4JqBap9AgXwHMH90pKTl,N,0.561,0.536,0.0346,0.0951,0.0,0.114,0.378,150.01,0
Heart Upon My Sleeve,Avicii,6tO9Cugohbp1Jj4vIh7Fiy,N,0.893,0.74,0.132,0.299,0.0,0.0881,0.963,101.025,1
Cinema,Harry Styles,28yYvFeocTDYzao76YVB75,N,0.648,0.89,0.203,0.0138,0.022,0.477,0.953,127.935,3
Creep,Stone Temple Pilots,6qLEOZvf5gI7kWE63JE7p3,N,0.592,0.336,0.0323,0.0302,0.784,0.0909,0.371,86.849,6
Born Tired,Jhené Aiko,4mL59LVbKgOpEACxraGYdr,N,0.819,0.694,0.355,0.0218,0.0,0.132,0.297,130.079,4
High By The Beach,Lana Del Rey,1WO7skj3yz61YIaOEADHeC,N,0.854,0.481,0.209,0.232,0.0,0.0943,0.151,130.993,4
Closure,Taylor Swift,3uayvzcbqFydIbgUeC6EJh,N,0.63,0.13,0.0423,0.893,0.917,0.107,0.308,77.026,2
Shouldn'T Matter But It Does,John Mayer,1pPnKQWxxkanf8Yv96Z2lT,N,0.513,0.728,0.0282,0.00132,4.97e-06,0.0679,0.423,140.024,0
Have A Holly Jolly Christmas,"Harry Connick, Jr.",7MOBQpfxrtjPu5hYT21yaG,N,0.741,0.658,0.0853,0.643,3.43e-06,0.307,0.746,142.057,1
Begin Again (Taylor'S Version),Taylor Swift,48A0aShHlovDfTMucMrE66,N,0.75,0.776,0.249,0.226,0.0,0.355,0.519,130.066,4
Girls Go Down,A Boogie Wit Da Hoodie,1jvPJYyDFyzRpRJttU5sAY,N,0.617,0.823,0.328,0.0635,0.0,0.095,0.663,97.67,4
The Best Day (Taylor’S Version),Taylor Swift,3QOmgrh6ElgcPKwOAnbwgu,N,0.555,0.335,0.0254,0.504,0.706,0.144,0.566,102.275,2
Get On Your Knees,Nicki Minaj,7awBgmQ3B0YscMXPBwE1gQ,N,0.821,0.485,0.411,0.324,0.0,0.105,0.41,143.026,4
Some Things Never Change,Kristen Bell,4yR3pf7yMIXdcySCtwFins,N,0.86,0.795,0.272,0.0438,0.0,0.0493,0.695,91.029,1
Krazy But True,Future,4yAGsHiUGjTxLTOy95C6cD,N,0.548,0.735,0.236,0.173,0.0,0.195,0.498,101.252,4
4Peat,Xxxtentacion,0JP9xo3adEtGSdUEISiszL,N,0.744,0.63,0.169,0.178,0.0,0.115,0.647,140.049,1
Penny Lane  Remastered,The Beatles,6Bu5zYFxZcycNu7OgwZ4DV,N,0.624,0.681,0.0409,0.0142,1.65e-05,0.0922,0.292,160.071,0
My Eyes,The Lumineers,7l987hjMH9FBNXBE93Hrs7,N,0.41,0.9,0.0656,0.0167,1.09e-05,0.339,0.558,176.962,0
Dreamin Of The Past,Pusha T,7IT1iTjqHCHKshoNOgiYCV,N,0.768,0.79,0.191,0.0754,1.79e-06,0.13,0.398,84.95,1
Idontwannabeyouanymore,Billie Eilish,4eGHEHqoDMMejzPhRFTc7p,N,0.549,0.866,0.0476,0.0733,0.0,0.25,0.767,87.964,1
Move Your Body  Alan Walker Remix,Sia,6fKNqD073GoAQwpY7xyWVK,N,0.8,0.63,0.122,0.0147,0.0,0.559,0.822,95.046,3
Atm,J. Cole,2cnKST6T9qUo2i907lm8zX,N,0.833,0.619,0.0971,0.0496,8.67e-05,0.3,0.366,91.022,1
Get Mine,Bryson Tiller,4IHVtUTV8CZD1KPV6bPJWK,N,0.765,0.696,0.0672,0.102,0.0,0.148,0.916,160.058,1
Rain Interlude,Bryson Tiller,1cL6an5GHjlMhU9CrBM6iN,N,0.637,0.394,0.0614,0.666,0.0,0.104,0.454,121.693,5
Tired Of Talking,Léon,10vkYRKw6Jjr7try1ir50G,N,0.629,0.472,0.0671,0.0425,0.805,0.0836,0.283,140.053,6
Together,Trippie Redd,6GivWRmlYtefJr28jev6e0,N,0.861,0.693,0.313,0.082,0.0,0.07,0.772,165.036,4
Champion,Nav,6B0AtmfTogr8zN0px1RmWl,N,0.663,0.728,0.0491,0.24,0.000417,0.122,0.563,120.082,1
Yeah Right,Joji,4ewazQLXFTDC8XvCbhvtXs,N,0.734,0.278,0.0911,0.673,0.763,0.092,0.215,179.586,2
7 Years,Lukas Graham,1kFlDnWmBTvCBxxeGDpIdp,N,0.918,0.418,0.158,0.167,0.0,0.0731,0.457,110.012,1
Attention,Newjeans,5expoVGQPvXuwBBFuNGqBd,N,0.477,0.727,0.286,0.000866,0.0,0.108,0.227,150.062,0
Ambition For Cash,Key Glock,2kGYQ1INKi6M52Okl6PtRo,N,0.478,0.786,0.0463,0.00107,0.0,0.125,0.268,100.005,0
Byf,A$Ap Mob,7AGRfseDUGRKQGkCBiimAL,N,0.523,0.383,0.039,0.00924,0.586,0.646,0.0783,141.958,3
Hold Up,Beyoncé,6cfVDaIdvDtYH91RqC6Wox,N,0.677,0.866,0.0392,0.00165,0.662,0.412,0.0386,128.005,6
Walk On Water,Thirty Seconds To Mars,5WbNxzVhvR4efwcUXB2goL,N,0.759,0.577,0.134,0.519,2.48e-06,0.106,0.169,100.007,5
Sex With My Ex,Lil Peep,4R0wmsPPh4ykxTidxkh8wZ,N,0.553,0.932,0.464,0.0535,3.13e-06,0.314,0.562,174.48,4
Blame On You,Rod Wave,2CwG4BXIlGmmYLDmDvwMTH,N,0.661,0.748,0.206,0.175,0.0,0.254,0.509,171.983,0
Hardwired,Metallica,6cVHdquegEopMxjVrztawo,N,0.558,0.549,0.167,0.233,0.0,0.126,0.186,106.737,0
Girls On Boys,Galantis,3pyrRowLIrRCHzg7cdzMy9,N,0.692,0.394,0.0719,4.56e-05,0.862,0.0838,0.0716,135.94,6
Flex Like Ouu,Lil Pump,43ZyHQITOjhciSUUNPVRHc,N,0.392,0.681,0.0367,0.408,2.31e-05,0.375,0.711,171.162,3
Pussy Talk,City Girls,2Ty7EDf9XLYzEUqEIwJfDC,N,0.607,0.523,0.0528,0.326,0.0,0.128,0.0781,105.018,0
Loophole,Brockhampton,5bknBRjKJZ643DAN2w8Yoy,N,0.868,0.795,0.269,0.0012,0.0193,0.0461,0.819,166.0,4
Let It Snow! Let It Snow! Let It Snow!,Ella Fitzgerald,5TEE40vHtWoDDb1GA6n6AV,N,0.494,0.651,0.0384,0.0819,0.0,0.104,0.162,149.979,0
Fuck Up The City,Pnb Rock,03w1u0L5fS0F7izSUkdqS2,N,0.836,0.779,0.0519,0.00369,0.000173,0.58,0.555,119.908,3
Voicemail,Russ,4hS7b55aChkN6FePTc6CeD,N,0.893,0.391,0.0512,0.234,0.0,0.138,0.358,91.035,1
Villain'S Theme,Brent Faiyaz,7dQeS4ErW1iWvnKdrtKwKr,N,0.665,0.594,0.0503,0.0644,1.46e-06,0.324,0.163,94.991,0
North Star,Offset,6rI8uFFmGyvS2N6sqDCdu3,N,0.687,0.619,0.0383,0.000683,0.0,0.122,0.343,97.971,0
We Envy Nothing In The World.,$Uicideboy$,2XSrt1dcuOXPgl3B4bxmBz,N,0.811,0.63,0.239,0.153,0.0,0.186,0.611,145.022,4
Never Change,Trippie Redd,0qdokVswgvvQHwTj6Okh0S,N,0.554,0.237,0.0355,0.65,0.924,0.0472,0.155,129.998,2
Baby It'S Cold Outside (Duet With Michael Bublé),Idina Menzel,7irY7Ldcf6BFpycGl62vum,N,0.753,0.836,0.05,0.189,0.0,0.364,0.949,162.044,1
P*$$Y Fairy (Otw),Jhené Aiko,3Rs9jOQ2FlVgS6vYXPoAVm,N,0.864,0.217,0.0573,0.125,0.749,0.101,0.356,119.983,6
Worst Day,Future,74gActRNAR7tDVuOIwDO84,N,0.483,0.959,0.106,1.57e-05,0.83,0.534,0.109,123.031,3
Lil Baby,Young Thug,1GeNui6m825V8jP4uKiIaH,N,0.762,0.674,0.0378,0.0106,3.67e-06,0.0321,0.759,105.027,1
I Think He Knows,Taylor Swift,1mURMc2apzuKL4Y3FW3JXr,N,0.926,0.666,0.244,0.0611,0.0,0.123,0.168,127.079,4
Christmas Dream,Perry Como,1Kcy7qSbf6un30zIkxGVew,N,0.217,0.25,0.0332,0.389,0.969,0.557,0.333,130.49,2
Lalisa,Lisa,3sRCesHh424gmCji7Fz9Gm,N,0.743,0.585,0.105,0.506,0.796,0.116,0.572,92.959,6
Gilded Lily,Cults,43kWIqzAQSluGMe5a5yr87,N,0.781,0.445,0.0295,0.474,0.0,0.184,0.591,78.998,1
Keep In Touch,Tory Lanez,4Zmz78m7P7NT5qpoTIfFwF,N,0.676,0.503,0.0971,0.137,6.36e-05,0.0981,0.196,162.85,0
Painting Pictures,Polo G,5teSgJfTCFK0ngDASJb99U,N,0.85,0.7,0.0478,0.0607,1.66e-06,0.244,0.724,101.875,1
"Win Some, Lose Some",Big Sean,4ciazivJi7rkIR79hS5vto,N,0.704,0.611,0.041,0.217,0.0,0.0812,0.22,99.994,0
Top Down,Lil Yachty,7zy7iE31dGO70ShMXghsfj,N,0.818,0.491,0.0579,0.0693,0.0,0.0879,0.0396,130.081,0
Play This When I'M Gone,Machine Gun Kelly,2SyZbIzhv22w0S6eMSQc7r,N,0.655,0.576,0.0536,0.0295,0.115,0.132,0.167,139.953,0
Fall In Love With Death,Bass Santana,79aj4SR6l5FKOJqy1TdtSv,N,0.686,0.667,0.426,0.296,0.0,0.218,0.667,77.977,4
River,Joni Mitchell,5EsPLgSs1UQIDJG0U00RuJ,N,0.549,0.74,0.0324,0.0215,0.000572,0.191,0.397,92.031,0
Flannel,Justin Timberlake,1yTUOfejPrPv9C3reAwAK9,N,0.621,0.765,0.118,0.0663,0.0,0.135,0.279,98.461,0
Here We Go,Mac Miller,5Pp1H1mFlL6o63omITUvfn,N,0.243,0.107,0.0417,0.979,0.918,0.0916,0.232,110.461,2
Lying,Lil Baby,0RhWjMfq4m4DYWHib1VivH,N,0.806,0.546,0.0575,0.3,0.0,0.102,0.874,147.986,1
Blessings  Extended Version,Big Sean,5IdQEHgtmj9th3OkfQKhf8,N,0.73,0.553,0.114,0.287,5.93e-05,0.137,0.103,130.081,0
Perfect Strangers,Jonas Blue,3LEgGAl9zLcQWGTp7ptqtQ,N,0.583,0.797,0.0261,0.00497,0.000628,0.169,0.781,129.346,1
Dead Shot,Nav,3g9eWbcI4vSBaWfyHGbJya,N,0.776,0.785,0.058,0.295,0.000807,0.169,0.5,98.036,1
Fix,Chris Lane,3yOs8FffuG6hPbzQG9lIqV,N,0.425,0.91,0.0524,0.000344,0.00101,0.12,0.419,159.944,0
Lead The Wave,Takeoff,06h8PHtfXY7dlrTWxPAyZT,N,0.849,0.648,0.0835,0.0706,0.00636,0.0984,0.195,106.058,0
Really,Dababy,55we9aKrINrFskSrYkMZ4B,N,0.405,0.636,0.0691,0.141,0.0104,0.0977,0.141,178.022,0
Get Ur Freak On,Missy Elliott,3jagJCUbdqhDSPuxP8cAqF,N,0.929,0.653,0.268,0.00166,7.71e-06,0.585,0.525,140.065,3
Lightning & Thunder,Jhené Aiko,7p9VQSOgThgy6LpOuCsZAH,N,0.503,0.316,0.227,0.574,2.5e-05,0.106,0.629,80.026,5
Living Single,Big Sean,7FYH5AW3bVfZHJIQpq3UOA,N,0.12,0.0268,0.0497,0.906,0.833,0.107,0.0316,149.77,2
Disturbia,Rihanna,7q44fdiZgGQpALVU1bFvog,N,0.747,0.177,0.33,0.181,0.58,0.117,0.166,140.066,4
Hitek Tek,Future,4HESarzpBGDxCcajLbVQ4O,N,0.529,0.78,0.326,0.0255,0.0,0.14,0.711,80.018,4
Spaceship,Don Toliver,6p158dfAO8q8wUk8u06xZq,N,0.626,0.423,0.0513,0.128,0.0,0.18,0.571,95.162,1
I Hate U I Love U,Gnash,5ZwBzSBjPNfH0sOj4k8rF1,N,0.555,0.851,0.148,0.0706,0.00495,0.129,0.779,83.909,1
Ohmami,Chase Atlantic,1c7YvFPE0PWud0InScOX3r,N,0.682,0.559,0.127,0.174,0.0,0.344,0.137,202.015,0
Better Believe,Belly,4pESeamX7QXDeQ9g8TjEKT,N,0.376,0.906,0.0479,0.095,0.521,0.196,0.331,123.887,0
I Love You So,The Walters,250nTdud1emYCDNWqcVGEn,N,0.609,0.229,0.0333,0.558,0.0413,0.113,0.19,111.887,5
A Sky Full Of Stars,Coldplay,5KtpOqc2VsG1gmYA2EgTLz,N,0.573,0.75,0.0419,0.0908,0.0444,0.741,0.298,148.077,3
My Nigga,Yg,2pUrFLAbWbUqZnnSgJ2u5I,N,0.5,0.156,0.0469,0.87,0.0,0.125,0.405,173.794,5
I Don’T Wanna Live Forever (Fifty Shades Darker),Zayn,7B75GYgCfCVQAXozo0Andb,N,0.585,0.641,0.133,0.0286,0.0,0.316,0.266,88.284,0
Lifetime,Swedish House Mafia,3nEHrvNNtgLv9rneTAYVr4,N,0.404,0.37,0.0265,0.452,0.519,0.0982,0.162,98.655,2
Free Fallin',Tom Petty,4LloVtxNZpeh7q7xdi1DQc,N,0.63,0.633,0.0457,0.00776,0.0,0.0541,0.452,93.995,0
We Got The Power,Gorillaz,0W4N0KzHKWQp2Wn1Mf6uMa,N,0.569,0.623,0.0312,0.116,0.0,0.11,0.35,149.991,0
Mafia,Travis Scott,1NSuc6LJmouGjyVg7Eh2W1,N,0.684,0.772,0.0356,0.00248,0.00403,0.0894,0.0418,128.025,0
Might Not Give Up,A Boogie Wit Da Hoodie,3CZaD8kZrZX8L2EW4jze6x,N,0.844,0.916,0.192,0.0821,0.0,0.132,0.63,97.097,1
Do U Dirty,Kehlani,4odg2klUD1cYslcGy7i0kz,N,0.507,0.448,0.0281,0.694,0.0,0.114,0.123,119.934,5
Greatest,Eminem,7lQ8MOhq6IN2w8EYcFNSUk,N,0.772,0.702,0.211,0.0918,0.0,0.0935,0.304,140.974,4
Sleazy Flow,Sleazyworld Go,5n9TneAz5gp3JfUXb3SIoy,N,0.743,0.85,0.0595,0.0501,0.0,0.942,0.657,98.026,3
Girls Love Beyoncé,Drake,6cbxxAXGVR6iloKFjPbRTZ,N,0.661,0.587,0.197,0.419,6.78e-06,0.108,0.18,119.934,0
Bruce Wayne  Outro,Takeoff,5YvQrVZ83q4dvXMvIY7Yp7,N,0.647,0.514,0.0593,0.0655,0.0,0.398,0.386,79.975,3
Chosen,Trippie Redd,6IpvkngH89cA3hhPC84Leg,N,0.674,0.501,0.0385,0.149,3.32e-06,0.1,0.198,145.975,0
Tears In The Club,Fka Twigs,0aLIFfpQkLH23JpA9hJzFR,N,0.299,0.323,0.0315,0.00117,0.887,0.0753,0.138,100.674,6
Goodbye,Jason Derulo,2Bp6uReYlPb0ibegrD6zbb,N,0.693,0.426,0.0513,0.659,0.0,0.0663,0.213,127.022,5
You'Re Gonna Live Forever In Me,John Mayer,214tNSr4epshNjQ6W2PTLg,N,0.629,0.668,0.15,0.0287,0.0,0.159,0.904,214.025,1
Sugar Wraith,Post Malone,7GpFvT1qi8mkwdIjSbfiSh,N,0.406,0.128,0.0542,0.963,2.89e-06,0.186,0.15,162.318,5
Sand In My Boots,Morgan Wallen,0DBb4vItW595Mljc7vXaVu,N,0.473,0.127,0.0371,0.921,0.677,0.0769,0.113,122.734,2
Hate Me,Trippie Redd,1W24W6jQegnNh0x5DfBBPT,N,0.426,0.972,0.0954,0.0017,0.0,0.171,0.341,111.221,0
Mo Bamba,Sheck Wes,07AQbb8xIEj3bF082KEwJp,N,0.599,0.787,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,1
Shake It Off,Taylor Swift,1CiVz2WkmZRwhU3A6J2Gjz,N,0.67,0.346,0.0351,0.0108,0.00153,0.148,0.314,146.019,0
Devil,Cash Cash,2zMXH5k5NZy1Nw460bLvRh,N,0.866,0.64,0.413,0.000697,0.000114,0.702,0.636,142.04,3
Eazy  Order More,G,7s6YxHWevH9vZ2tcik6VYc,N,0.391,0.766,0.0564,0.000209,8.91e-06,0.0413,0.238,87.475,0
Stripes Like Burberry,Future,4oSRK2nOTOr4aOAzwIV9w6,N,0.672,0.205,0.127,0.0256,0.875,0.0968,0.0385,193.938,6
New Illuminati,Future,62BwpOkuLjwfrFvCS381eE,N,0.574,0.612,0.0781,0.357,0.0,0.158,0.368,136.046,0
I Am The Greatest,Logic,0ntRONPcuiflLHKSNnDy4S,N,0.362,0.882,0.0973,0.0791,0.0,0.15,0.864,199.811,0
In Da Getto,J Balvin,3O9BNmxmQ5M02TFGMWptJt,N,0.869,0.556,0.108,0.0639,0.0,0.0668,0.386,120.016,1
Lights On,Big Grams,7scrvMB2HL77DGpIPE44XS,N,0.72,0.751,0.194,0.391,0.00152,0.108,0.487,125.022,1
No Time To Die,Billie Eilish,29CXge3r41ZOV5KooRaAwq,N,0.635,0.713,0.0937,0.228,0.0,0.0506,0.749,179.864,1
Gnarly,Kodak Black,189SCF7XFCfIQybq5CZwD9,N,0.0796,0.733,0.0427,0.0185,0.787,0.144,0.0637,168.214,6
We Should,Lil Baby,6i2dcVvDPfHp8EkrPf21bD,N,0.8,0.52,0.245,0.157,0.73,0.08,0.292,115.983,6
No Type,Rae Sremmurd,2V0tXnDgNh0E2dOYNMyVOr,N,0.439,0.153,0.0479,0.874,0.0,0.107,0.104,116.76,5
Connexion,Zayn,3e7sxremeOE3wTySiOhGiP,N,0.717,0.579,0.0282,0.606,0.0365,0.1,0.606,110.014,1
Tempo,Lizzo,5rHi0wHKwJ9H9Pj0EGlpiR,N,0.677,0.697,0.0321,0.0198,0.0,0.144,0.61,134.0,1
Confessions Of A Dangerous Mind,Logic,0x7663BmBYv7m1ejUzXHfd,N,0.652,0.611,0.408,0.00489,0.0,0.109,0.6,171.789,4
This Is How We Do,Katy Perry,0qgSobGlnDscAjA1m6VzOH,N,0.454,0.595,0.0453,0.356,0.951,0.342,0.452,111.722,6
Futsal Shuffle 2020  Bonus Track,Lil Uzi Vert,0RhzBLPcc2o2N6hFvSTmaA,N,0.595,0.386,0.0377,0.455,0.0,0.131,0.864,145.059,1
Dirt On My Boots,Jon Pardi,4Ry0uTWn0HwvmutsEMamhJ,N,0.578,0.59,0.0431,0.00721,0.00711,0.077,0.253,128.092,0
Did It Again,Lil Tecca,4pavaOv2WsuxlOapvP8xHM,N,0.742,0.505,0.0941,0.47,0.00181,0.115,0.362,132.095,0
Turn On The Lights Again..,Fred Again..,5ZDM2zQEFDY7wc6SMI0GpU,N,0.764,0.759,0.244,0.216,0.0,0.308,0.762,143.037,1
Rolling Papers 2,Wiz Khalifa,53DB6LJV9B8sz0p1s6tlGS,N,0.461,0.595,0.0953,0.697,0.0,0.141,0.967,189.587,1
Feel The Love,Kids See Ghosts,3C2EPRLROWkwDPVHZ0Pn2H,N,0.915,0.527,0.321,0.09,0.0,0.0959,0.764,119.936,4
Hookah,Tyga,7ru64oSycDH1RdSZTGVlsK,N,0.591,0.894,0.0394,0.0619,1.78e-06,0.356,0.739,122.009,1
Show Me How To Live,Audioslave,6hKb6HuJlBvvgvq1ys7PMY,N,0.691,0.524,0.16,0.197,4.29e-05,0.488,0.41,164.047,3
Star Of The Show,Thomas Rhett,5kNe7PE09d6Kvw5pAsx23n,N,0.728,0.5,0.283,0.0312,0.0,0.156,0.604,172.635,4
